#{"t_start": 1616435654.7412186, "env_id": null}
r,l,t
-0.738095,12,80.627388
-0.619048,17,80.774792
-0.880952,6,80.826889
-0.666667,15,80.948
-0.904762,5,80.999044
-0.833333,8,81.076622
-0.880952,6,81.13198
-0.785714,10,81.215714
-9.785714,10,81.300297
-0.809524,9,81.375856
-0.809524,9,81.452657
-0.904762,5,81.495355
-0.928571,4,81.528595
-0.857143,7,81.587923
-0.666667,15,81.713122
-0.833333,8,81.78164
-0.785714,10,81.869906
-0.761905,11,81.97611
-0.857143,7,82.038107
-9.761905,11,82.128317
-0.785714,10,82.413441
-0.857143,7,82.475445
-0.761905,11,82.568891
-0.904762,5,82.611815
-0.904762,5,82.655085
-0.761905,11,82.745893
-0.785714,10,82.825191
-9.761905,11,82.919235
-9.785714,10,82.993178
1.214286,10,83.066794
-9.619048,17,83.199244
-0.809524,9,83.274566
-0.761905,11,83.360324
-0.904762,5,83.397846
-9.833333,8,83.453968
-9.809524,9,83.518508
-9.785714,10,83.59043
-0.857143,7,83.644089
-0.714286,13,83.748353
-9.761905,11,83.843978
-0.738095,12,83.943165
-0.833333,8,84.008858
-0.809524,9,84.077236
-0.928571,4,84.107919
-0.833333,8,84.176353
-0.857143,7,84.238354
-0.714286,13,84.350028
-0.809524,9,84.590043
-9.642857,16,84.708308
-0.857143,7,84.763093
-0.833333,8,84.826722
-0.880952,6,84.87698
-0.833333,8,84.941892
-0.904762,5,84.980267
-0.738095,12,85.077456
-0.785714,10,85.156123
-0.738095,12,85.254337
-9.666667,15,85.362359
-0.904762,5,85.399671
-0.714286,13,85.496399
-0.928571,4,85.528129
-0.785714,10,85.605486
